Ten-Year Age Groups,Ten-Year Age Groups Code,ICD Chapter,ICD Chapter Code,Year,Year Code,Deaths,Population,Crude Rate
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2011,2011,888,41790498,2.1
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2012,2012,1036,42309321,2.4
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2013,2013,1023,42844587,2.4
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2014,2014,997,43516504,2.3
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2015,2015,1125,44137202,2.5
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2016,2016,1211,44677243,2.7
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2017,2017,1189,45342672,2.6
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2018,2018,1142,45697774,2.5
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2019,2019,1154,45940321,2.5
25-34 years,25-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,2020,2020,1360,46069646,3
25-34 years,25-34,Codes for special purposes,U00-U99,2001,2001,822,39471522,2.1
25-34 years,25-34,Codes for special purposes,U00-U99,2020,2020,2260,46069646,4.9
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,1999,1999,22184,40178406,55.2
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2000,2000,21599,39891724,54.1
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2001,2001,22205,39471522,56.3
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2002,2002,23114,39349646,58.7
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2003,2003,23161,39243795,59
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2004,2004,23585,39266556,60.1
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2005,2005,24664,39258647,62.8
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2006,2006,25688,39395179,65.2
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2007,2007,26089,39713463,65.7
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2008,2008,25485,40207473,63.4
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2009,2009,24576,40723342,60.3
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2010,2010,25537,41063948,62.2
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2011,2011,26786,41790498,64.1
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2012,2012,27416,42309321,64.8
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2013,2013,27815,42844587,64.9
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2014,2014,29090,43516504,66.8
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2015,2015,32726,44137202,74.1
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2016,2016,38129,44677243,85.3
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2017,2017,40557,45342672,89.4
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2018,2018,39261,45697774,85.9
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2019,2019,39300,45940321,85.5
25-34 years,25-34,External causes of morbidity and mortality,V01-Y89,2020,2020,48425,46069646,105.1
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,1999,1999,8407,45076677,18.7
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2000,2000,8001,45148527,17.7
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2001,2001,7934,45051752,17.6
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2002,2002,7841,44640649,17.6
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2003,2003,7427,44154206,16.8
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2004,2004,6824,43800275,15.6
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2005,2005,6201,43505538,14.3
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2006,2006,5759,43243801,13.3
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2007,2007,5284,42796230,12.3
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2008,2008,4477,42192486,10.6
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2009,2009,4052,41487811,9.8
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2010,2010,3320,41070606,8.1
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2011,2011,3036,40627954,7.5
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2012,2012,2713,40516420,6.7
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2013,2013,2652,40452690,6.6
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2014,2014,2526,40513133,6.2
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2015,2015,2476,40589783,6.1
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2016,2016,2446,40470156,6
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2017,2017,2214,40875370,5.4
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2018,2018,2139,41277888,5.2
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2019,2019,2081,41659144,5
35-44 years,35-44,Certain infectious and parasitic diseases,A00-B99,2020,2020,2402,42136192,5.7
35-44 years,35-44,Neoplasms,C00-D48,1999,1999,17074,45076677,37.9
35-44 years,35-44,Neoplasms,C00-D48,2000,2000,16888,45148527,37.4
35-44 years,35-44,Neoplasms,C00-D48,2001,2001,16935,45051752,37.6
35-44 years,35-44,Neoplasms,C00-D48,2002,2002,16451,44640649,36.9
35-44 years,35-44,Neoplasms,C00-D48,2003,2003,15848,44154206,35.9
35-44 years,35-44,Neoplasms,C00-D48,2004,2004,15041,43800275,34.3
35-44 years,35-44,Neoplasms,C00-D48,2005,2005,14934,43505538,34.3
35-44 years,35-44,Neoplasms,C00-D48,2006,2006,14233,43243801,32.9
35-44 years,35-44,Neoplasms,C00-D48,2007,2007,13628,42796230,31.8
35-44 years,35-44,Neoplasms,C00-D48,2008,2008,13005,42192486,30.8
35-44 years,35-44,Neoplasms,C00-D48,2009,2009,12812,41487811,30.9
35-44 years,35-44,Neoplasms,C00-D48,2010,2010,12088,41070606,29.4
35-44 years,35-44,Neoplasms,C00-D48,2011,2011,11963,40627954,29.4
35-44 years,35-44,Neoplasms,C00-D48,2012,2012,11592,40516420,28.6
35-44 years,35-44,Neoplasms,C00-D48,2013,2013,11613,40452690,28.7
35-44 years,35-44,Neoplasms,C00-D48,2014,2014,11517,40513133,28.4
35-44 years,35-44,Neoplasms,C00-D48,2015,2015,11170,40589783,27.5
35-44 years,35-44,Neoplasms,C00-D48,2016,2016,11146,40470156,27.5
35-44 years,35-44,Neoplasms,C00-D48,2017,2017,11104,40875370,27.2
35-44 years,35-44,Neoplasms,C00-D48,2018,2018,10853,41277888,26.3
35-44 years,35-44,Neoplasms,C00-D48,2019,2019,10922,41659144,26.2
35-44 years,35-44,Neoplasms,C00-D48,2020,2020,10981,42136192,26.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,1999,1999,641,45076677,1.4
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2000,2000,641,45148527,1.4
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2001,2001,677,45051752,1.5
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2002,2002,660,44640649,1.5
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2003,2003,632,44154206,1.4
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2004,2004,610,43800275,1.4
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2005,2005,612,43505538,1.4
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2006,2006,554,43243801,1.3
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2007,2007,545,42796230,1.3
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2008,2008,495,42192486,1.2
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2009,2009,513,41487811,1.2
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2010,2010,470,41070606,1.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2011,2011,450,40627954,1.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2012,2012,487,40516420,1.2
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2013,2013,422,40452690,1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2014,2014,508,40513133,1.3
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2015,2015,479,40589783,1.2
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2016,2016,453,40470156,1.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2017,2017,454,40875370,1.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2018,2018,436,41277888,1.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2019,2019,462,41659144,1.1
35-44 years,35-44,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,2020,2020,488,42136192,1.2
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,1999,1999,2921,45076677,6.5
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2000,2000,3001,45148527,6.6
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2001,2001,3003,45051752,6.7
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2002,2002,3336,44640649,7.5
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2003,2003,3198,44154206,7.2
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2004,2004,3130,43800275,7.1
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2005,2005,3265,43505538,7.5
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2006,2006,3232,43243801,7.5
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2007,2007,3161,42796230,7.4
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2008,2008,3079,42192486,7.3
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2009,2009,3055,41487811,7.4
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2010,2010,2968,41070606,7.2
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2011,2011,3066,40627954,7.5
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2012,2012,3070,40516420,7.6
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2013,2013,3210,40452690,7.9
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2014,2014,3427,40513133,8.5
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2015,2015,3384,40589783,8.3
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2016,2016,3484,40470156,8.6
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2017,2017,3553,40875370,8.7
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2018,2018,3818,41277888,9.2
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2019,2019,3772,41659144,9.1
35-44 years,35-44,"Endocrine, nutritional and metabolic diseases",E00-E88,2020,2020,4811,42136192,11.4
35-44 years,35-44,Mental and behavioural disorders,F01-F99,1999,1999,2287,45076677,5.1
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2000,2000,2191,45148527,4.9
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2001,2001,2191,45051752,4.9
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2002,2002,2361,44640649,5.3
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2003,2003,2300,44154206,5.2
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2004,2004,2186,43800275,5
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2005,2005,2198,43505538,5.1
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2006,2006,2197,43243801,5.1
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2007,2007,1470,42796230,3.4
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2008,2008,1388,42192486,3.3
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2009,2009,1213,41487811,2.9
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2010,2010,1201,41070606,2.9
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2011,2011,1250,40627954,3.1
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2012,2012,1220,40516420,3
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2013,2013,1300,40452690,3.2
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2014,2014,1389,40513133,3.4
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2015,2015,1464,40589783,3.6
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2016,2016,1648,40470156,4.1
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2017,2017,1760,40875370,4.3
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2018,2018,1909,41277888,4.6
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2019,2019,2203,41659144,5.3
35-44 years,35-44,Mental and behavioural disorders,F01-F99,2020,2020,2902,42136192,6.9
35-44 years,35-44,Diseases of the nervous system,G00-G98,1999,1999,1764,45076677,3.9
35-44 years,35-44,Diseases of the nervous system,G00-G98,2000,2000,1854,45148527,4.1
35-44 years,35-44,Diseases of the nervous system,G00-G98,2001,2001,1847,45051752,4.1
35-44 years,35-44,Diseases of the nervous system,G00-G98,2002,2002,1878,44640649,4.2
35-44 years,35-44,Diseases of the nervous system,G00-G98,2003,2003,1852,44154206,4.2
35-44 years,35-44,Diseases of the nervous system,G00-G98,2004,2004,1810,43800275,4.1
35-44 years,35-44,Diseases of the nervous system,G00-G98,2005,2005,1933,43505538,4.4
35-44 years,35-44,Diseases of the nervous system,G00-G98,2006,2006,1927,43243801,4.5
35-44 years,35-44,Diseases of the nervous system,G00-G98,2007,2007,1826,42796230,4.3
35-44 years,35-44,Diseases of the nervous system,G00-G98,2008,2008,1835,42192486,4.3
35-44 years,35-44,Diseases of the nervous system,G00-G98,2009,2009,1861,41487811,4.5
35-44 years,35-44,Diseases of the nervous system,G00-G98,2010,2010,1753,41070606,4.3
35-44 years,35-44,Diseases of the nervous system,G00-G98,2011,2011,1734,40627954,4.3
35-44 years,35-44,Diseases of the nervous system,G00-G98,2012,2012,1764,40516420,4.4
35-44 years,35-44,Diseases of the nervous system,G00-G98,2013,2013,1837,40452690,4.5
35-44 years,35-44,Diseases of the nervous system,G00-G98,2014,2014,1819,40513133,4.5
35-44 years,35-44,Diseases of the nervous system,G00-G98,2015,2015,1847,40589783,4.6
35-44 years,35-44,Diseases of the nervous system,G00-G98,2016,2016,1878,40470156,4.6
35-44 years,35-44,Diseases of the nervous system,G00-G98,2017,2017,1918,40875370,4.7
35-44 years,35-44,Diseases of the nervous system,G00-G98,2018,2018,2000,41277888,4.8
35-44 years,35-44,Diseases of the nervous system,G00-G98,2019,2019,2034,41659144,4.9
35-44 years,35-44,Diseases of the nervous system,G00-G98,2020,2020,2161,42136192,5.1
35-44 years,35-44,Diseases of the ear and mastoid process,H60-H93,2001,2001,10,45051752,Unreliable
35-44 years,35-44,Diseases of the circulatory system,I00-I99,1999,1999,17281,45076677,38.3
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2000,2000,16943,45148527,37.5
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2001,2001,16971,45051752,37.7
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2002,2002,17267,44640649,38.7
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2003,2003,17272,44154206,39.1
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2004,2004,16451,43800275,37.6
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2005,2005,16184,43505538,37.2
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2006,2006,15698,43243801,36.3
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2007,2007,15189,42796230,35.5
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2008,2008,14541,42192486,34.5
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2009,2009,14199,41487811,34.2
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2010,2010,13640,41070606,33.2
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2011,2011,13551,40627954,33.4
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2012,2012,13341,40516420,32.9
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2013,2013,13220,40452690,32.7
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2014,2014,13346,40513133,32.9
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2015,2015,13400,40589783,33
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2016,2016,13630,40470156,33.7
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2017,2017,13536,40875370,33.1
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2018,2018,13573,41277888,32.9
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2019,2019,13672,41659144,32.8
35-44 years,35-44,Diseases of the circulatory system,I00-I99,2020,2020,15792,42136192,37.5
35-44 years,35-44,Diseases of the respiratory system,J00-J98,1999,1999,2713,45076677,6
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2000,2000,2813,45148527,6.2
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2001,2001,2718,45051752,6
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2002,2002,2712,44640649,6.1
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2003,2003,2621,44154206,5.9
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2004,2004,2487,43800275,5.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2005,2005,2488,43505538,5.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2006,2006,2382,43243801,5.5
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2007,2007,2234,42796230,5.2
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2008,2008,2349,42192486,5.6
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2009,2009,2777,41487811,6.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2010,2010,2104,41070606,5.1
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2011,2011,2196,40627954,5.4
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2012,2012,2060,40516420,5.1
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2013,2013,2298,40452690,5.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2014,2014,2563,40513133,6.3
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2015,2015,2084,40589783,5.1
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2016,2016,2300,40470156,5.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2017,2017,2233,40875370,5.5
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2018,2018,2369,41277888,5.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2019,2019,2390,41659144,5.7
35-44 years,35-44,Diseases of the respiratory system,J00-J98,2020,2020,2878,42136192,6.8
35-44 years,35-44,Diseases of the digestive system,K00-K92,1999,1999,5320,45076677,11.8
35-44 years,35-44,Diseases of the digestive system,K00-K92,2000,2000,5379,45148527,11.9
35-44 years,35-44,Diseases of the digestive system,K00-K92,2001,2001,5281,45051752,11.7
35-44 years,35-44,Diseases of the digestive system,K00-K92,2002,2002,5269,44640649,11.8
35-44 years,35-44,Diseases of the digestive system,K00-K92,2003,2003,5090,44154206,11.5
35-44 years,35-44,Diseases of the digestive system,K00-K92,2004,2004,4794,43800275,10.9
35-44 years,35-44,Diseases of the digestive system,K00-K92,2005,2005,4491,43505538,10.3
35-44 years,35-44,Diseases of the digestive system,K00-K92,2006,2006,4417,43243801,10.2
35-44 years,35-44,Diseases of the digestive system,K00-K92,2007,2007,4308,42796230,10.1
35-44 years,35-44,Diseases of the digestive system,K00-K92,2008,2008,4302,42192486,10.2
35-44 years,35-44,Diseases of the digestive system,K00-K92,2009,2009,4173,41487811,10.1
35-44 years,35-44,Diseases of the digestive system,K00-K92,2010,2010,4093,41070606,10
35-44 years,35-44,Diseases of the digestive system,K00-K92,2011,2011,3978,40627954,9.8
35-44 years,35-44,Diseases of the digestive system,K00-K92,2012,2012,4004,40516420,9.9
35-44 years,35-44,Diseases of the digestive system,K00-K92,2013,2013,4055,40452690,10
35-44 years,35-44,Diseases of the digestive system,K00-K92,2014,2014,4172,40513133,10.3
35-44 years,35-44,Diseases of the digestive system,K00-K92,2015,2015,4450,40589783,11
35-44 years,35-44,Diseases of the digestive system,K00-K92,2016,2016,4487,40470156,11.1
35-44 years,35-44,Diseases of the digestive system,K00-K92,2017,2017,4577,40875370,11.2
35-44 years,35-44,Diseases of the digestive system,K00-K92,2018,2018,4720,41277888,11.4
35-44 years,35-44,Diseases of the digestive system,K00-K92,2019,2019,5122,41659144,12.3
35-44 years,35-44,Diseases of the digestive system,K00-K92,2020,2020,7175,42136192,17
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,1999,1999,107,45076677,0.2
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2000,2000,107,45148527,0.2
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2001,2001,114,45051752,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2002,2002,128,44640649,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2003,2003,140,44154206,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2004,2004,136,43800275,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2005,2005,122,43505538,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2006,2006,118,43243801,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2007,2007,116,42796230,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2008,2008,122,42192486,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2009,2009,117,41487811,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2010,2010,106,41070606,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2011,2011,114,40627954,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2012,2012,96,40516420,0.2
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2013,2013,131,40452690,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2014,2014,98,40513133,0.2
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2015,2015,110,40589783,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2016,2016,110,40470156,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2017,2017,126,40875370,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2018,2018,135,41277888,0.3
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2019,2019,160,41659144,0.4
35-44 years,35-44,Diseases of the skin and subcutaneous tissue,L00-L98,2020,2020,152,42136192,0.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,1999,1999,636,45076677,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2000,2000,645,45148527,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2001,2001,674,45051752,1.5
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2002,2002,611,44640649,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2003,2003,615,44154206,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2004,2004,592,43800275,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2005,2005,596,43505538,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2006,2006,584,43243801,1.4
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2007,2007,535,42796230,1.3
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2008,2008,517,42192486,1.2
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2009,2009,503,41487811,1.2
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2010,2010,465,41070606,1.1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2011,2011,453,40627954,1.1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2012,2012,439,40516420,1.1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2013,2013,412,40452690,1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2014,2014,438,40513133,1.1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2015,2015,406,40589783,1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2016,2016,466,40470156,1.2
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2017,2017,425,40875370,1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2018,2018,445,41277888,1.1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2019,2019,455,41659144,1.1
35-44 years,35-44,Diseases of the musculoskeletal system and connective tissue,M00-M99,2020,2020,524,42136192,1.2
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,1999,1999,883,45076677,2
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2000,2000,916,45148527,2
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2001,2001,959,45051752,2.1
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2002,2002,935,44640649,2.1
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2003,2003,991,44154206,2.2
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2004,2004,991,43800275,2.3
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2005,2005,929,43505538,2.1
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2006,2006,984,43243801,2.3
35-44 years,35-44,Diseases of the genitourinary system,N00-N98,2007,2007,939,42796230,2.2
